RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishRoundTimeSecs,TotalFightDurationSecs,RedWin,BlueWin,RedWinPercentage,BlueWinPercentage
Zak Cummings,Michel Prazeres,0.6522522522522523,0.546,0.06185922077922078,0.12129034525702335,2018-05-19,"Santiago, Chile", Chile,Blue,False,Welterweight,MALE,3,0,6,0,33.8,0.492,0.6,3.8,0.428,6,2,28,0,0,2,4,0,2,0,8,Orthodox,167.64,170.18,170,0,2,0,25.625,0.338,0.75,0.875,0.274,2,2,16,0,0,0,2,1,3,0,6,Southpaw,182.88,190.5,185,33,36,0,4,4,2,0,12,0,-1,-1,-15.24,-20.32,-3,8.175,-0.15,2.925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.198943661971831,0.1484375,0.1727904667328699,0.3148301574150787,0.27906976744186046,0.3175287356321839,300.0,900.0,False,True,1.0,1.0
Brandon Moreno,Alexandre Pantoja,0.681081081081081,0.43600000000000005,0.11157025974025973,0.06392964996310581,2018-05-19,"Santiago, Chile", Chile,Blue,False,Flyweight,MALE,3,1,0,0,58.3333,0.423,1.6667,1.0,0.777,2,1,9,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,1,0,0,32.75,0.42,1.0,2.5,0.47,3,1,11,0,0,1,0,0,2,0,3,Orthodox,170.18,177.8,125,24,28,0,0,-1,-1,0,-2,0,0,-1,-5.08,-7.62,-4,25.5833,0.6667,-1.5,0.0,12.0,7.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,12.0,,Red,U-DEC,Unknown,3.0,5:00,900.0,0.221830985915493,0.1171875,0.2025819265143992,0.2858326429163215,0.48062015503875966,0.2600574712643678,300.0,900.0,False,True,0.5,1.5
Poliana Botelho,Syuri Kondo,0.658018018018018,0.5456000000000001,0.06814454545454546,0.12051615172861545,2018-05-19,"Santiago, Chile", Chile,Red,False,Women's Strawweight,FEMALE,3,0,1,0,135.0,0.47,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,162.56,167.64,115,0,1,0,67.0,0.63,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,115,29,29,0,0,0,0,0,0,0,0,0,-10.16,-2.54,0,68.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,0:33,33.0,0.21478873239436622,0.12187500000000001,0.23733862959285007,0.4391052195526098,0.2713178294573644,0.367816091954023,33.0,33.0,True,False,1.0,0.0
Gabriel Benitez,Humberto Bandenay,0.6648648648648648,0.538,0.07729363636363636,0.10580647468886517,2018-05-19,"Santiago, Chile", Chile,Red,False,Featherweight,MALE,3,0,1,0,5.0,0.71,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,180.34,182.0,145,0,1,0,44.8333,0.417,1.1667,0.0,0.0,2,2,15,0,0,0,2,0,2,0,4,Southpaw,172.72,180.34,145,29,23,0,0,-1,-3,2,-14,0,1,-2,7.62,1.66,6,-39.8333,-1.1667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Slam,1.0,0:39,39.0,0.2482394366197183,0.190625,0.11817279046673287,0.3015741507870754,0.3023255813953488,0.27011494252873564,39.0,39.0,True,False,0.5,0.0
Enrique Barzola,Brandon Davis,0.636036036036036,0.558,0.048770389610389604,0.1445161511092606,2018-05-19,"Santiago, Chile", Chile,Red,False,Featherweight,MALE,3,0,1,0,76.0,0.365,0.0,0.5,0.5,1,1,6,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,135,0,3,0,53.2,0.436,0.2,5.4,0.468,3,1,15,1,0,0,4,0,0,0,4,Switch,170.18,177.8,145,29,28,0,-2,-2,-3,0,-9,-1,0,0,7.62,5.08,1,22.8,-0.2,-4.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.11690140845070424,0.15000000000000002,0.20913604766633564,0.48881524440762225,0.35968992248062015,0.32471264367816094,300.0,900.0,True,False,0.6666666666666666,0.0
Henry Briones,Frankie Saenz,0.8216216216216216,0.34400000000000003,0.35714285714285715,0.01631883828854611,2018-05-19,"Santiago, Chile", Chile,Blue,False,Bantamweight,MALE,3,0,1,0,57.1429,0.453,0.1429,1.4286,0.244,3,3,21,0,0,2,2,0,0,0,4,Orthodox,167.64,167.64,135,3,0,0,33.5,0.323,0.25,0.0,0.0,1,3,9,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,135,37,37,3,1,2,3,0,12,0,0,-1,-5.08,-7.62,0,23.6429,-0.1071,1.4286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.323943661971831,0.014062499999999999,0.32929493545183713,0.3572493786246893,0.5348837209302326,0.2442528735632184,300.0,900.0,False,True,0.0,1.0
Claudio Puelles,Felipe Silva,0.8162162162162162,0.35000000000000003,0.33766233766233766,0.017369728584007007,2018-05-19,"Santiago, Chile", Chile,Red,False,Lightweight,MALE,3,1,0,0,5.5,0.22,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,195.58,155,1,0,0,29.0,0.42,0.0,1.0,0.16,0,1,2,1,0,0,0,0,0,0,0,Southpaw,180.34,182.88,155,22,34,0,0,1,1,0,0,-1,1,0,2.54,12.7,-12,-23.5,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kneebar,3.0,2:23,743.0,0.3063380281690141,0.203125,0.3118172790466733,0.347970173985087,0.5674418604651162,0.041666666666666664,143.0,743.0,True,False,1.0,0.0
Amanda Nunes,Raquel Pennington,0.46846846846846846,0.68,0.012059350649350648,0.38064517727367286,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,True,Women's Bantamweight,FEMALE,5,0,4,0,49.875,0.531,1.125,1.25,0.595,4,2,21,0,0,1,3,0,2,0,6,Orthodox,170.18,170.18,135,0,6,0,31.1111,0.576,0.4444,0.8889,0.23,6,1,17,3,0,1,1,4,2,0,8,Orthodox,172.72,175.26,145,29,29,0,-2,-2,-2,-1,4,-3,-4,0,-2.54,-5.08,0,18.7639,0.6806,0.3611,0.0,2.0,0.0,,,,0.0,,,,,,,,,12.0,,,,2.0,,,,,,,,,,Red,KO/TKO,Punches,5.0,2:36,1356.0,0.23943661971830987,0.375,0.12810327706057598,0.4266777133388567,0.20930232558139533,0.4827586206896552,156.0,1356.0,True,False,1.0,0.75
Jacare Souza,Kelvin Gastelum,0.6792792792792792,0.43800000000000006,0.106437012987013,0.06728113374758365,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,0,1,0,44.9231,0.465,0.1538,0.6923,0.243,5,4,32,1,0,2,2,3,2,0,9,Southpaw,175.26,180.34,185,0,1,0,18.4,0.497,0.7,1.2,0.353,5,2,17,0,0,0,1,3,4,0,8,Orthodox,185.42,182.88,185,38,26,0,0,0,1,-2,15,1,0,-2,-10.16,-2.54,12,26.5231,-0.5462,-0.5077,0.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,Blue,S-DEC,Unknown,3.0,5:00,900.0,0.26584507042253525,0.2265625,0.10824230387288977,0.5385252692626347,0.3875968992248062,0.14367816091954022,300.0,900.0,False,True,0.0,0.4
Mackenzie Dern,Amanda Cooper,0.627027027027027,0.5680000000000001,0.043456493506493506,0.16387098931945834,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Women's Strawweight,FEMALE,3,0,1,0,29.25,0.39,1.0,0.75,0.248,1,2,7,1,0,0,1,1,0,0,2,Switch,160.02,162.56,115,0,1,0,70.0,0.48,1.0,1.0,0.16,1,0,3,0,0,1,0,0,0,0,1,Orthodox,162.56,160.02,115,25,26,0,0,0,1,-2,4,1,1,0,-2.54,2.54,-1,-40.75,0.0,-0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,2:27,147.0,0.2359154929577465,0.203125,0.09533267130089375,0.5385252692626347,0.48062015503875966,0.21839080459770116,147.0,147.0,True,False,0.75,0.0
John Lineker,Brian Kelleher,0.6252252252252252,0.5700000000000001,0.04251402597402597,0.16774195696149788,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,2,0,46.25,0.438,0.5,0.75,0.395,2,1,8,0,0,0,1,1,1,0,3,Switch,167.64,167.64,135,0,1,0,57.2857,0.413,0.4286,0.4286,0.179,6,3,35,0,0,1,4,5,1,0,11,Orthodox,160.02,170.18,135,27,31,0,1,-4,-8,2,-27,0,-4,0,7.62,-2.54,-4,-11.0357,0.0714,0.3214,0.0,,6.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,3.0,3:43,823.0,0.19542253521126762,0.15625,0.23733862959285007,0.4059652029826015,0.23255813953488372,0.4827586206896552,223.0,823.0,True,False,1.0,0.25
Vitor Belfort,Lyoto Machida,0.7801801801801802,0.404,0.20779220779220778,0.03429545717947208,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,0,1,0,30.6522,0.524,0.3478,0.6087,0.267,8,8,61,5,0,2,6,6,1,0,15,Southpaw,185.42,187.96,185,0,1,0,11.4,0.507,0.32,0.24,0.11,3,10,38,6,0,0,1,11,2,1,15,Southpaw,182.88,187.96,185,41,39,0,0,5,0,2,23,-1,-6,-1,2.54,0.0,2,19.2522,0.0278,0.3687,0.0,12.0,9.0,,,,,,,9.0,,,,,,,,,,,,,12.0,,,,,,,Red,KO/TKO,Kick,2.0,1:00,360.0,0.33098591549295775,0.1171875,0.3912611717974181,0.47224523612261804,0.289922480620155,0.125,60.0,360.0,False,True,0.0,inf
Cezar Ferreira,Karl Roberson,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,17.0,0.73,2.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,Southpaw,185.42,187.96,205,0,1,0,18.9167,0.41,0.3333,1.75,0.432,3,4,27,1,0,2,4,0,2,0,8,Southpaw,185.42,198.12,185,33,27,0,0,-2,-7,4,-26,-1,0,-1,0.0,-10.16,6,-1.9167,1.6667,-0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,1.0,4:45,285.0,0.25176056338028174,0.1953125,0.16782522343594836,0.3396851698425849,0.34108527131782945,0.13793103448275862,285.0,285.0,True,False,1.0,0.25
Aleksei Oleinik,Junior Albini,0.7693693693693693,0.42200000000000004,0.16883116883116883,0.046941056853134024,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Heavyweight,MALE,3,1,0,0,34.5,0.525,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,190.5,187.96,264,1,0,0,20.8333,0.487,1.0,1.3333,0.262,2,2,10,0,0,0,0,1,3,0,4,Orthodox,187.96,203.2,240,40,27,0,0,-1,-3,1,-6,0,0,-3,2.54,-15.24,13,13.6667,-1.0,-1.3333,0.0,14.0,10.0,,,,,10.0,,,,,,,,,,,,,14.0,,,,,,,,,Red,SUB,Other - Choke,1.0,1:45,105.0,0.24295774647887325,0.1796875,0.22244289970208542,0.4391052195526098,0.30077519379844964,0.12068965517241378,105.0,105.0,True,False,0.6666666666666666,0.0
Davi Ramos,Nick Hein,0.654054054054054,0.544,0.06370662337662338,0.1174193776149838,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,3,0,39.0,0.37,0.0,1.0,0.212,3,1,15,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,0,1,0,45.0,0.36,0.5,2.5,0.275,1,1,6,0,0,0,0,0,1,0,1,Orthodox,167.64,177.8,155,31,34,0,2,2,3,0,9,0,0,-1,0.0,-10.16,-3,-6.0,-0.5,-1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:15,255.0,0.2183098591549296,0.1125,0.1420059582919563,0.4391052195526098,0.4496124031007752,0.4252873563218391,255.0,255.0,True,False,1.0,0.0
Elizeu Zaleski dos Santos,Sean Strickland,0.7567567567567567,0.43200000000000005,0.12337662337662336,0.05806451463059317,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,1,0,55.625,0.366,0.5,1.375,0.479,3,2,22,0,0,2,2,1,1,0,6,Orthodox,185.42,193.04,170,0,4,0,66.0,0.408,0.6,0.4,0.228,4,1,15,0,0,1,2,1,0,0,4,Orthodox,180.34,185.42,170,31,27,0,-3,-1,2,-1,7,0,0,1,5.08,7.62,4,-10.375,-0.1,0.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,3:40,220.0,0.20950704225352115,0.11406250000000001,0.3118172790466733,0.4059652029826015,0.3023255813953488,0.3175287356321839,220.0,220.0,True,False,1.0,0.8333333333333334
Warlley Alves,Sultan Aliev,0.6198198198198198,0.5760000000000001,0.0398887012987013,0.1793548598876165,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,1,0,11.5,0.57,0.0,1.0,0.33,1,1,4,0,0,1,0,0,0,0,1,Orthodox,180.34,187.96,170,0,1,0,32.4286,0.454,0.8571,1.0,0.371,4,2,18,1,0,0,2,0,3,0,5,Orthodox,180.34,182.88,170,27,33,0,0,-3,-4,1,-14,-1,0,-3,0.0,5.08,-6,-20.9286,-0.8571,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Unknown,2.0,5:00,600.0,0.22535211267605637,0.1796875,0.11122144985104271,0.4391052195526098,0.3674418604651163,0.25287356321839083,300.0,600.0,True,False,0.6,0.0
Thales Leites,Jack Hermansson,0.7603603603603604,0.42800000000000005,0.13636363636363635,0.0531017792747928,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,1,0,0,33.6,0.5,0.0,0.6,0.432,2,2,8,0,0,0,1,2,0,0,3,Orthodox,185.42,195.58,185,1,0,0,26.1579,0.405,0.8947,1.6842,0.271,5,7,51,1,0,1,4,2,5,0,12,Orthodox,185.42,198.12,185,36,29,0,0,-3,-9,5,-43,-1,0,-5,0.0,-2.54,7,7.4421,-0.8947,-1.0842,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,2:10,730.0,0.272887323943662,0.1209375,0.169811320754717,0.45567522783761394,0.4186046511627907,0.15488505747126435,130.0,730.0,False,True,1.0,1.3333333333333333
Alberto Mina,Ramazan Emeev,0.7747747747747747,0.41200000000000003,0.18831168831168832,0.03908918608802101,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,38.0,0.53,0.0,1.0,0.11,1,0,3,0,0,0,1,0,0,0,1,Southpaw,177.8,193.04,170,0,3,0,39.6667,0.467,0.0,1.3333,0.377,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,195.58,170,36,30,0,-2,-2,-2,0,-3,0,-2,0,-5.08,-2.54,6,-1.6667,0.0,-0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.3292253521126761,0.125,0.1926514399205561,0.30057995028997514,0.297984496124031,0.1810344827586207,300.0,900.0,False,True,0.0,0.6666666666666666
Markus Perez,James Bochnovic,0.6126126126126126,0.5800000000000001,0.036796493506493506,0.1870967951716956,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,1,0,0,5.0,0.2,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,205.74,205,1,0,0,30.0,0.5,1.0,2.0,0.4,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,29,29,0,0,0,0,0,-1,0,0,0,7.62,20.32,0,-25.0,-1.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:28,268.0,0.2904929577464789,0.2015625,0.10427010923535254,0.3728251864125932,0.27782945736434106,0.4295977011494253,268.0,268.0,True,False,0.6666666666666666,0.0
Edson Barboza,Kevin Lee,0.772972972972973,0.41400000000000003,0.18181818181818182,0.04046926347176095,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Lightweight,MALE,5,1,0,0,36.9167,0.448,0.9167,2.3333,0.444,5,3,26,1,0,1,3,1,4,0,9,Orthodox,175.26,195.58,170,1,0,0,40.6667,0.441,0.0556,0.3889,0.203,4,5,43,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,32,25,0,0,1,-4,2,-17,1,-5,4,-5.08,5.08,7,-3.75,0.8611,1.9444,0.0,7.0,4.0,,,,,,,,,4.0,,,,,,,,,,,,,7.0,,,,,Red,KO/TKO,Unknown,5.0,2:18,1338.0,0.2869718309859155,0.1796875,0.4309831181727905,0.23446561723280862,0.26356589147286824,0.28160919540229884,138.0,1338.0,False,True,0.42857142857142855,1.0
Frankie Edgar,Cub Swanson,0.6216216216216216,0.5740000000000001,0.04073194805194805,0.17548389224557698,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,65.6429,0.495,0.1429,0.7857,0.433,6,4,42,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,1,0,0,61.087,0.429,0.4348,2.913,0.305,5,7,80,8,0,0,9,4,2,1,16,Orthodox,167.64,172.72,145,36,34,0,0,1,-6,3,-38,-8,-1,-2,5.08,5.08,2,4.5559,-0.2919,-2.1273,0.0,4.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,Red,U-DEC,Unknown,3.0,5:00,900.0,0.10035211267605634,0.203125,0.3118172790466733,0.47224523612261804,0.48062015503875966,0.21408045977011492,300.0,900.0,True,False,0.3333333333333333,0.0
Justin Willis,Chase Sherman,0.6162162162162161,0.5780000000000001,0.03828935064935064,0.18322582752965605,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,59.6,0.392,0.0,0.0,0.0,2,3,11,0,0,0,1,1,0,0,2,Orthodox,193.04,198.12,250,0,2,0,37.0,0.535,0.0,1.5,0.375,2,0,4,0,0,0,1,1,0,0,2,Southpaw,185.42,198.12,264,30,28,-1,-2,0,0,-3,7,0,0,0,7.62,0.0,2,22.6,0.0,-1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2359154929577465,0.2578125,0.3118172790466733,0.4391052195526098,0.13643410852713178,0.2385057471264368,300.0,900.0,True,False,inf,0.14285714285714285
David Branch,Thiago Santos,0.7711711711711712,0.41600000000000004,0.17532467532467533,0.04193550859521269,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Middleweight,MALE,3,0,4,0,24.7692,0.443,0.0,0.1538,0.077,4,4,20,0,0,0,1,8,0,0,9,Orthodox,187.96,193.04,205,1,0,0,20.1667,0.432,0.0,1.8333,0.413,2,3,16,0,0,1,2,0,0,0,3,Orthodox,185.42,198.12,185,36,34,1,4,2,6,-1,4,0,8,0,2.54,-5.08,2,4.6026,0.0,-1.6795,0.0,11.0,8.0,,,,,,,8.0,,,,,,,,,,,,,11.0,,,,,,,Red,KO/TKO,Punch,1.0,2:30,150.0,0.2552816901408451,0.1715625,0.182720953326713,0.5136702568351285,0.48062015503875966,0.11206896551724138,150.0,150.0,True,False,0.5,0.6666666666666666
Aljamain Sterling,Brett Johns,0.6792792792792792,0.43800000000000006,0.106437012987013,0.06728113374758365,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Bantamweight,MALE,3,0,3,0,35.3333,0.417,0.6667,4.6667,0.443,3,0,7,0,0,0,2,0,1,0,3,Orthodox,170.18,180.34,135,1,0,0,44.8889,0.477,0.7778,1.7778,0.496,4,3,24,0,0,0,3,1,2,0,6,Orthodox,170.18,180.34,135,28,26,1,3,-1,-3,3,-17,0,-1,-1,0.0,0.0,2,-9.5556,-0.1111,2.8889,0.0,14.0,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,14.0,,,Red,U-DEC,Unknown,3.0,5:00,900.0,0.21302816901408453,0.115625,0.1926514399205561,0.3396851698425849,0.4186046511627907,0.2744252873563218,300.0,900.0,True,False,1.0,0.0
Jim Miller,Dan Hooker,0.8108108108108107,0.36000000000000004,0.3181818181818182,0.019354838210197723,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Lightweight,MALE,3,0,2,0,36.125,0.446,0.25,0.375,0.124,2,3,18,0,0,0,0,3,2,0,5,Switch,182.88,190.5,155,3,0,0,30.7143,0.37,1.3929,1.2143,0.414,7,11,68,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,34,28,3,2,-5,-12,8,-50,0,0,-4,10.16,10.16,6,5.4107,-1.1429,-0.8393,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1.0,3:00,180.0,0.3045774647887324,0.025,0.27209533267130087,0.3148301574150787,0.5426356589147286,0.1810344827586207,180.0,180.0,False,True,0.6428571428571429,0.625
Ryan LaFlare,Alex Garcia,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,21.75,0.335,0.125,2.875,0.435,2,3,19,0,0,1,1,2,1,0,5,Orthodox,175.26,182.88,170,1,0,0,46.0,0.388,0.25,2.5,0.33,4,2,25,0,0,0,6,0,0,0,6,Southpaw,185.42,187.96,170,34,30,1,1,-2,-1,-1,-6,0,2,1,-10.16,-5.08,4,-24.25,-0.125,0.375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.24295774647887325,0.1515625,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.22413793103448276,300.0,900.0,True,False,1.0,0.0
Merab Dvalishvili,Ricky Simon,0.681081081081081,0.43600000000000005,0.11157025974025973,0.06392964996310581,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,1,0,0,47.0,0.39,0.0,11.0,0.47,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,27,25,1,0,0,0,1,-3,0,0,0,0.0,2.54,2,-47.0,0.0,-11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Unknown,3.0,5:00,900.0,0.23063380281690143,0.11406250000000001,0.3515392254220457,0.3024026512013256,0.4418604651162791,0.21408045977011492,300.0,900.0,False,True,1.0,0.6
Siyar Bahadurzada,Luan Chagas,0.7747747747747747,0.41200000000000003,0.18831168831168832,0.03908918608802101,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,60.6667,0.467,0.3333,0.3333,0.083,1,2,8,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,0,2,0,35.8,0.488,0.4,0.8,0.3,2,2,12,0,0,0,0,2,1,0,3,Orthodox,180.34,185.42,170,34,24,0,-1,-1,-2,0,-4,0,-2,0,2.54,5.08,10,24.8667,-0.0667,-0.4667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,2:40,460.0,0.31338028169014087,0.1875,0.22740814299900697,0.27009113504556753,0.24651162790697673,0.16666666666666669,160.0,460.0,True,False,1.0,0.0
Corey Anderson,Patrick Cummins,0.6612612612612612,0.538,0.07221571428571429,0.10580647468886517,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Light Heavyweight,MALE,3,0,2,0,44.2,0.504,0.1,3.4,0.363,3,4,22,0,0,1,3,2,0,0,6,Orthodox,187.96,193.04,205,2,0,0,53.6,0.479,0.0,3.3,0.508,3,4,25,1,0,0,4,2,0,0,6,Orthodox,190.5,200.66,205,28,37,2,2,0,0,0,-3,-1,0,0,-2.54,-7.62,-9,-9.4,0.1,0.1,0.0,11.0,10.0,,,,,,10.0,,,,,,,,,,,,,11.0,,,,,,,,Red,U-DEC,Unknown,3.0,5:00,900.0,0.2165492957746479,0.115625,0.27209533267130087,0.4059652029826015,0.29147286821705426,0.2672413793103448,300.0,900.0,True,False,1.0,0.0
